tte_bucket,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
14,200568,LightGBM,0.6565873887031864,0.6605753483474442,0.660496509582898,0.6606290388315286,0.6614133695638609,0.6604550569175569,0.658501351972378,0.6565873887031864,0.6582189666548686,0.6626563665804939
13,185387,LightGBM,0.6294117633574358,0.6333121232439243,0.6336063692684336,0.6341036622395589,0.6341585894796976,0.6330142322403555,0.6314519602889201,0.6294117633574358,0.6313862243321995,0.637284804094149
12,180403,LightGBM,0.6107484389224699,0.6150904787853886,0.6152608281163595,0.6158337688900622,0.6159314639870347,0.6152989560514757,0.6133079867616137,0.6107484389224699,0.6129683656785984,0.618920353041132
11,164088,LightGBM,0.5865246927887322,0.5896301025317847,0.5903944302842077,0.591449340715788,0.5904684369302318,0.5898484044834911,0.5884867546082284,0.5865246927887322,0.5882959538998019,0.5942667255615778
10,171544,LightGBM,0.5693083741542961,0.5730815995709072,0.574103119578579,0.5754774341943608,0.5740194653142762,0.5733182414341914,0.5708485302929718,0.5693083741542961,0.5707042897575094,0.5784588924866034
9,156296,LightGBM,0.5385351365547175,0.5415361414775361,0.5436257934524229,0.5457684819056867,0.542524058029093,0.5417833431974514,0.540086765930217,0.5385351365547175,0.5399345146026501,0.5474313583384036
8,159074,LightGBM,0.511825634299654,0.5156420234837253,0.5181045740844362,0.5207194124703586,0.5163660280951169,0.5158611020770946,0.513798310756483,0.511825634299654,0.5134622964932009,0.5221865576436333
7,151122,LightGBM,0.4903786637581324,0.49441141673980815,0.49706198368594473,0.5000412174234522,0.49546307613021806,0.4948336309876083,0.4924627990819782,0.4903786637581324,0.4923895462902791,0.5000449280142693
6,156531,LightGBM,0.4593802668253024,0.46288715787678986,0.466508289071771,0.4702820030326517,0.4639160475548183,0.46357466180021584,0.4611796184420704,0.4593802668253024,0.4612030542946816,0.46734052187975667
5,167109,LightGBM,0.4236012304099158,0.4277596527367157,0.43277043240465346,0.43760654976813146,0.42885538950152885,0.42766642877385413,0.4256579341535936,0.4236012304099158,0.4254573453497959,0.43431358589452845
4,166869,LightGBM,0.3983616628871147,0.40140356337519223,0.40672950998312496,0.412036613919719,0.40292809575598,0.40206639619169293,0.3996650625644669,0.3983616628871147,0.3995860958056851,0.4064226752838186
3,158545,LightGBM,0.36224324845735906,0.3663441044062349,0.3724428134796515,0.37869858259608397,0.36764462293968553,0.3665730697452885,0.3644736989228407,0.36224324845735906,0.36423034896392664,0.37325151729342404
2,155697,LightGBM,0.31950379490610614,0.3240793784500608,0.3322326263056615,0.3399174476598519,0.3254791594066057,0.32452028766290336,0.32181263467181215,0.31950379490610614,0.3218274812935242,0.33113540590675405
