tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
14,-92c,-92,-91,1,PySR (Symbolic Regression),0.01005033585350145,0.040821993588932556,0.07278479440540088,0.09337813725187137,0.020202706861361452,0.22756248215453348,0.8448539790901861,0.7154164322060278,0.21074776043909166,0.01005033585350145
14,-67c,-67,-66,1,XGBoost,0.5655153598165946,1.2729656715554127,1.2287857639776116,1.202444223745933,1.347073641662272,0.5682072019147397,0.5655153598165946,0.7487251893906088,0.674597502290888,1.0832538341860913
14,-59c,-59,-58,1,XGBoost,0.3781398047527488,0.916290716972994,0.9037606283403709,0.8960354490140446,0.9675840093998654,0.39535837984284994,0.3781398047527488,0.5509614559475456,0.5381101347903932,0.8401367917143997
14,-58c,-58,-57,1,Momentum-Adjusted Gaussian,0.4942963166848722,0.5276327360208827,0.5352991532829979,0.5401048360533897,0.4942963166848722,1.137859620686377,0.8305896002670821,0.5909839784113351,0.6474056151366009,0.5779391461334148
14,-56c,-56,-55,1,XGBoost,0.2558882892068225,4.605170185988091,3.3885142866919247,2.97115100425698,4.605170185988091,3.1321002909933098,0.2558882892068225,0.3005169353619025,0.3044607433154714,4.605170185988091
14,-55c,-55,-54,1,CatBoost,0.5166056501568034,1.4696759519183977,1.399984086451336,1.359543488478926,1.5606477262677163,0.8284000487376062,0.6336514485146589,0.6561898549339903,0.5166056501568034,1.2228688150017863
14,-53c,-53,-52,1,CatBoost,0.47226091410398097,0.6161861548768731,0.6198064317568466,0.6220697638866525,0.5798185109523799,1.2353188278958351,0.6103264488500127,0.6078547924189518,0.47226091410398097,0.644138365046362
14,-52c,-52,-51,2,LightGBM,0.4990986802452875,1.0613833550940186,1.0226225634308073,1.0006104916163165,1.0941819969699127,1.0296800070214047,0.5562685209066316,0.4990986802452875,0.5047726745654794,0.947017393620055
14,-50c,-50,-49,2,XGBoost,0.30873336827283027,3.453877632040488,2.7217075023466792,2.4509596547602164,3.56544940304098,2.4094989758222303,0.30873336827283027,0.40887092626693067,0.3651155791975243,3.282282768316274
14,-47c,-47,-46,2,Momentum-Adjusted Gaussian,0.22345614794879726,0.2487901968414078,0.271417789505916,0.28551856963913513,0.22345614794879726,0.48560692237271663,0.6250292599236957,0.7081130503538022,0.7540690161034612,0.33506998693052326
14,-46c,-46,-45,1,XGBoost,0.4153121820766553,0.5276327360208827,0.5352991532829979,0.5401048360533897,0.4942963166848722,0.9848094448666378,0.4153121820766553,0.4738275167388407,0.4644364586985791,0.5779391461334148
14,-45c,-45,-44,2,Machine Learning (Logistic Regression),0.5497298306310876,0.9731551217593375,0.951540756879077,0.9386667031781738,1.030211774045081,0.5497298306310876,0.6776797192906197,0.7320376333269827,0.6825972330775085,0.8779375570678681
14,-44c,-44,-43,3,Standard Gaussian,0.37850668365186285,0.37850668365186285,0.390646371555661,0.39926590805504986,0.3797416338795209,0.4271253791623321,0.693227277247544,0.6789204111030956,0.6187033888587513,0.40212735379423203
14,-43c,-43,-42,1,CatBoost,0.527576618454127,0.6161861548768731,0.6198064317568466,0.6220697638866525,0.5798185109523799,1.1010561488421622,0.6272051767949006,0.6391526183857427,0.527576618454127,0.644138365046362
14,-41c,-41,-40,2,Machine Learning (Logistic Regression),0.19537078705625577,0.35159875820672337,0.36374448122577596,0.3728755582967768,0.37200975500118966,0.19537078705625577,0.7738500533389754,0.8966933819404954,0.6580230756720132,0.3483283013629273
14,-40c,-40,-39,5,Machine Learning (Logistic Regression),0.61984893091979,0.8111209450782445,0.8037461448741086,0.7992473853209114,0.8418677035728106,0.61984893091979,0.7192624475334265,0.6899371821334231,0.721671867608516,0.7700817407736642
14,-39c,-39,-38,3,CatBoost,0.7112529827798283,1.5534200546986607,1.4400988160756816,1.3801455699546947,1.6479082001219307,1.3626702970379068,0.8267487756264654,0.9021350015409711,0.7112529827798283,1.3267664054887065
14,-38c,-38,-37,6,XGBoost,0.7171928061194474,0.9105570545029296,0.8701748844070331,0.8501670013044434,0.9604866461431142,0.7584501501695385,0.7171928061194474,0.7929373522086758,0.7314893607898033,0.8404403865836144
14,-37c,-37,-36,4,XGBoost,0.7158618300581729,1.042005114798521,0.9685016072171073,0.9339011342430268,1.1115805159908172,0.943677284351047,0.7158618300581729,0.7669600965156759,0.7195908531026924,0.9946000275813822
14,-36c,-36,-35,1,Momentum-Adjusted Gaussian,0.3566749343594145,0.385662470293518,0.40023582288802784,0.4093819224282713,0.3566749343594145,0.6335077871786601,0.518842620347997,0.3678964759152912,0.5429027851970143,0.463698825971026
14,-35c,-35,-34,1,Momentum-Adjusted Gaussian,0.31471073402104904,0.34249029719374746,0.3594161938731334,0.37002727953827075,0.31471073402104904,0.5536723008719858,0.47449927901617395,0.4947896118935859,0.4907823179069285,0.4259037182906942
14,-34c,-34,-33,7,CatBoost,0.666100730932322,1.1683355256215424,1.1178621229261385,1.0900206804300139,1.1923479648225133,1.2498238805134068,0.7721838135042448,0.7949525468755111,0.666100730932322,1.0330245048834414
14,-33c,-33,-32,8,PySR (Symbolic Regression),0.460920197636259,0.4799004330660734,0.488194361644789,0.4940356512184858,0.47297449320674767,0.5430860820308568,0.5952152501512815,0.589394778457385,0.6188961221589429,0.460920197636259
14,-32c,-32,-31,4,CatBoost,0.6955079092005574,0.8152762722526671,0.7776118820274267,0.7593375368317907,0.8386882137769717,0.8683953245228248,0.7155421557325031,0.7110714974520614,0.6955079092005574,0.7700024530624572
14,-31c,-31,-30,7,Momentum-Adjusted Gaussian,0.47746596862794394,0.4900509226818763,0.5000012808480647,0.5062267087683405,0.47746596862794394,0.5930020442752688,0.533624950352746,0.5793865642687247,0.5671768396263295,0.5200549979662317
14,-30c,-30,-29,5,CatBoost,0.6528264975303794,1.278292926575624,1.1571116475997953,1.1043093785666844,1.4272787829776947,1.1442003765109905,0.7597876116607954,0.6863081256736834,0.6528264975303794,1.502304209645848
14,-29c,-29,-28,1,CatBoost,1.3347135525335592,2.99573225865283,2.5199966441344492,2.3098654433524217,3.5065578575835525,2.4901786734050604,1.6886558743163183,1.7858106808228875,1.3347135525335592,3.2642407057464218
14,-28c,-28,-27,8,LightGBM,0.7348833084662096,1.4672283970732996,1.290896360212279,1.218566462117969,1.6301509894904913,1.2930233208923374,0.8085379943339349,0.7348833084662096,0.7559486486775859,1.5561484793062668
14,-27c,-27,-26,10,XGBoost,0.6208464276598804,0.6671650999125484,0.6615970712518313,0.6588947280563556,0.6751768702447118,0.6677068998975731,0.6208464276598804,0.6504898736873983,0.6210135941677237,0.6345174936848685
14,-26c,-26,-25,9,Momentum-Adjusted Gaussian,0.5685371109954078,0.5716037535635318,0.5749010509034456,0.5772143836804188,0.5685371109954078,0.619200559627871,0.6532003633705524,0.642747074644175,0.6413721849924042,0.5771548766639824
14,-25c,-25,-24,15,Momentum-Adjusted Gaussian,0.6190021116958915,0.6222404293699363,0.6228096029392564,0.6234096541403774,0.6190021116958915,0.6857863036471362,0.6514200361700228,0.67653731854332,0.6797616276001498,0.6244793743405805
14,-24c,-24,-23,10,Machine Learning (Logistic Regression),0.45677017923182034,0.5171990825981768,0.5235959233578483,0.5278683487030269,0.5288341373884214,0.45677017923182034,0.5873229342615754,0.6638357543563383,0.5991043997161047,0.5221719283029886
14,-23c,-23,-22,13,Machine Learning (Logistic Regression),0.6434818985604058,0.7589962041230487,0.7524670232399434,0.7486607337816413,0.7873127889137147,0.6434818985604058,0.6980678969181474,0.7032935165445806,0.6945416762917408,0.71906442121945
