bucket_label,bucket_start_cents,bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
0-5c,0,5,128421,LightGBM,0.0710458847292875,0.07806034201407594,0.09369018054258019,0.10819836258742112,0.08004877002685279,0.07929730817045107,0.07226088302532678,0.0710458847292875,0.07274237068494366,0.08086229171287297
5-10c,5,10,106847,LightGBM,0.20716267126504612,0.2142322192993757,0.22539581076235363,0.23547931645481585,0.21692810205486374,0.21296392708929096,0.20956376811180133,0.20716267126504612,0.2099903704158903,0.21887835629198552
10-15c,10,15,96601,LightGBM,0.3323153327064437,0.3380809590143009,0.3441128928444749,0.3499910046585432,0.33966175949112326,0.3366330057886861,0.3346010547121603,0.3323153327064437,0.33463362899084564,0.35325433058416805
15-20c,15,20,96491,LightGBM,0.4290754555277537,0.43449173898012533,0.43800288130263165,0.4414840681882461,0.4356057427750543,0.43368021864757583,0.4315578973546204,0.4290754555277537,0.4313564694658103,0.45145977421831157
20-25c,20,25,97338,LightGBM,0.5062170259990286,0.5114444034987603,0.5134413194959451,0.515446994536052,0.5123271463697289,0.5107992120408759,0.5084679001475362,0.5062170259990286,0.5082324338431333,0.5261671681791775
25-30c,25,30,101926,LightGBM,0.5827449870525929,0.5884074730782153,0.5884718749511071,0.5889554833339804,0.5892386844212987,0.5893508221123157,0.5853462783465482,0.5827449870525929,0.5848134904519525,0.5951524540229611
30-35c,30,35,117384,LightGBM,0.6298123457226457,0.6339352833506435,0.6337030948184806,0.6337844493973193,0.6344558546518759,0.634864163286166,0.632066378651497,0.6298123457226457,0.6316562026532132,0.6373768253202333
35-40c,35,40,130718,LightGBM,0.6573019471383135,0.660311804387796,0.6603155145827828,0.6604171167073549,0.6608680277863771,0.6604532113115029,0.6590259576442419,0.6573019471383135,0.658715964200122,0.6630409959124182
40-45c,40,45,143148,LightGBM,0.6806253766583009,0.6834865137555238,0.6833333038321613,0.6832724668943366,0.684132730254173,0.6833974641255732,0.682256745309696,0.6806253766583009,0.6817776662568245,0.683699883843244
45-50c,45,50,157873,LightGBM,0.6892885006415722,0.6925420597778529,0.6924691990183083,0.6924291382312205,0.6931060234042674,0.6922355358775313,0.6910762489575593,0.6892885006415722,0.6906274541629835,0.6922463968248155
50-55c,50,55,162253,LightGBM,0.6885624357943941,0.691307894514351,0.6913445194270136,0.6913700990520082,0.6919606671667301,0.6913144266936735,0.6901077795959037,0.6885624357943941,0.6897937641574193,0.6914597838566798
55-60c,55,60,148202,LightGBM,0.6766078632010255,0.679360690494022,0.6795747280788114,0.6797332562925082,0.679909540615486,0.6792302446744645,0.6782615036650231,0.6766078632010255,0.6777015818518815,0.6808705975123822
60-65c,60,65,133734,LightGBM,0.6564378198953845,0.6597222639714103,0.6600374257267243,0.6603136567528729,0.6601144413871138,0.6597265043017821,0.6580997415537573,0.6564378198953845,0.6576964527916234,0.6627731449657704
65-70c,65,70,118281,LightGBM,0.6259340231432836,0.6292891308729692,0.629771101388411,0.630256624913511,0.6297974922308383,0.6293373444656246,0.6280321061982288,0.6259340231432836,0.6276253046473957,0.6344965750411263
70-75c,70,75,104906,LightGBM,0.5895625103860769,0.5933642290585806,0.593753813488711,0.5943740286680781,0.5939397211449721,0.5939058808394506,0.5919610722344546,0.5895625103860769,0.5915290534483046,0.5995929088710311
75-80c,75,80,94863,LightGBM,0.5448127647868946,0.5484416006753386,0.5485341408547837,0.549317008557852,0.5492786690644146,0.5493162450294509,0.5469659122591772,0.5448127647868946,0.5466508549224238,0.5546714989284168
80-85c,80,85,94007,LightGBM,0.4678612387326032,0.47305840212993133,0.4743391402505146,0.4763937816188152,0.4740316255291961,0.4730717770984534,0.4701823938616227,0.4678612387326032,0.4698823187765576,0.48249749404918646
85-90c,85,90,95206,LightGBM,0.3833082963647943,0.38901369314418055,0.3913037042833003,0.3948971356650882,0.3905305613738652,0.38860155449906403,0.3861101290883407,0.3833082963647943,0.3859822563987796,0.3967249320694247
90-95c,90,95,103917,LightGBM,0.2638962259586458,0.26993430164379023,0.27597620136026196,0.2831307614496305,0.2725129504303567,0.2691719318758614,0.266512904302901,0.2638962259586458,0.26656366476073096,0.2732498890107448
95-100c,95,100,154867,LightGBM,0.09746603106577073,0.10212583440963638,0.11535256855070944,0.12857002475400672,0.10499745822847253,0.10429285973863445,0.09895494544102972,0.09746603106577073,0.09961039503361266,0.10771842519534046
