Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,f5,0.480000019,0-1,0-2,0-2,22451.1992,1718775.62,
0,1,0-1,f5,0.479999989,0-3,0-4,0-4,83215.3047,1623186.88,
0,2,0-2,f5,0.49000001,0-5,0-6,0-6,65178.7109,95588.7734,
0,3,0-3,f5,0.470000029,0-7,0-8,0-8,65902.1172,1600862.88,
0,4,0-4,f1,12.5166664,0-9,0-10,0-10,184.578125,22324.0215,
0,5,0-5,f2,0.25999999,0-11,0-12,0-12,34.4765625,23124.2637,
0,6,0-6,f2,0.00999999978,0-13,0-14,0-14,20746.3242,72464.5078,
0,7,0-7,f5,0.460000008,0-15,0-16,0-16,124704.172,1582936.75,
0,8,0-8,f2,0.230000004,0-17,0-18,0-18,43.8085938,17926.0664,
0,9,0-9,f1,9.80000019,0-19,0-20,0-20,67.9765625,22274.0215,
0,10,0-10,f1,13.1000004,0-21,0-22,0-22,22.4195709,49.9994888,
0,11,0-11,f1,12.8666668,0-23,0-24,0-24,10.453125,23094.7637,
0,12,0-12,f2,0.5,0-25,0-26,0-26,3.4311142,29.4996967,
0,13,0-13,f2,0.0,0-27,0-28,0-28,17740.7578,67317.5625,
0,14,0-14,f2,0.219999999,0-29,0-30,0-30,16.3359375,5146.94727,
0,15,0-15,Leaf,,,,,0.000559126725,1548674.12,
0,16,0-16,Leaf,,,,,-0.0573033243,34262.6484,
0,17,0-17,Leaf,,,,,0.0572105721,17897.5664,
0,18,0-18,Leaf,,,,,0.0191366598,28.4997082,
0,19,0-19,Leaf,,,,,-0.058668565,22044.5234,
0,20,0-20,Leaf,,,,,-0.0418402553,229.49765,
0,21,0-21,Leaf,,,,,-0.0181344058,28.2497101,
0,22,0-22,Leaf,,,,,0.0215748213,21.7497768,
0,23,0-23,Leaf,,,,,0.0580168813,23089.2637,
0,24,0-24,Leaf,,,,,0.0136837475,5.49994373,
0,25,0-25,Leaf,,,,,0.0308515392,20.7497864,
0,26,0-26,Leaf,,,,,0.00752000185,8.74991035,
0,27,0-27,Leaf,,,,,-0.0586071573,5013.19873,
0,28,0-28,Leaf,,,,,4.91575847e-05,62304.3594,
0,29,0-29,Leaf,,,,,0.058332812,5101.44775,
0,30,0-30,Leaf,,,,,0.0385221168,45.4995346,
1,0,1-0,f0,-0.0250688847,1-1,1-2,1-2,1546115.0,1718421.62,
1,1,1-1,f0,-0.674489737,1-3,1-4,1-4,254480.438,824935.438,
1,2,1-2,f0,0.738846779,1-5,1-6,1-6,258615.375,893486.25,
1,3,1-3,f0,-1.12639117,1-7,1-8,1-8,22040.5,378059.312,
1,4,1-4,f0,-0.279319078,1-9,1-10,1-10,26532.1797,446876.094,
1,5,1-5,f0,0.279319078,1-11,1-12,1-12,35834.4844,530903.562,
1,6,1-6,f0,1.22652805,1-13,1-14,1-14,22341.4375,362582.656,
1,7,1-7,f0,-1.40507162,1-15,1-16,1-16,2319.3125,212084.328,
