tte_bucket,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
14,364,CatBoost,0.6594062242180478,0.6633328248453916,0.6627338951740864,0.6627302575457229,0.6645219443646653,0.6599926689875625,0.6609675840971412,0.6625229430529243,0.6594062242180478,0.6708737115773656
13,334,Machine Learning (Logistic Regression),0.6192306291514325,0.6198979593322103,0.6213192906763005,0.6224397746592955,0.6216461013981188,0.6192306291514325,0.6215734399400732,0.6236800486289292,0.6228607249736376,0.625305385140257
12,296,CatBoost,0.5839549613916454,0.5875002996274606,0.5898571138530849,0.5916333857639499,0.5880107105994257,0.5848003312154674,0.5871631217252873,0.5874138589447269,0.5839549613916454,0.5965001177255214
11,280,Student-T df=5,0.6005349811662423,0.6012141599554354,0.6005349811662423,0.6008219546091308,0.6054690724323948,0.6011992872965356,0.6075387535221404,0.6093311764153382,0.6057691742130283,0.6032779660712352
10,256,Machine Learning (Logistic Regression),0.5593477231333426,0.5607245177343928,0.5631909829439676,0.565297130194889,0.56393012823142,0.5593477231333426,0.5600062702829516,0.5597976364390784,0.5598286514196733,0.5681862510778405
9,233,Machine Learning (Logistic Regression),0.5081506247475971,0.5095080919914317,0.5163658805879291,0.5209004311788292,0.5120005542836411,0.5081506247475971,0.5110807233978519,0.5160210544305017,0.5086739721468595,0.5192454828512277
8,276,LightGBM,0.5014634090463844,0.5015567041100801,0.506232597932154,0.5099236262701647,0.5022074807086987,0.5017257906550547,0.5015049358941214,0.5014634090463844,0.5032813497222958,0.5104566678213558
7,260,Momentum-Adjusted Gaussian,0.5155896266523737,0.5188316355047364,0.521023002345026,0.5235542163169844,0.5155896266523737,0.5205050432924885,0.5221066091890225,0.5214450355862071,0.5177196372956089,0.5194850304457149
6,275,XGBoost,0.46541291668198564,0.46879162594516527,0.4708053574744066,0.4739818852887798,0.4751627264030313,0.4680861134514573,0.46541291668198564,0.46794864372528683,0.46756714507428176,0.4831216424037446
5,285,Machine Learning (Logistic Regression),0.4536027828158368,0.45548969538282125,0.45807706977610957,0.4615127910547887,0.4655515320714615,0.4536027828158368,0.4581877363912827,0.46193540185462223,0.4635597173677326,0.46085697416426524
4,269,Standard Gaussian,0.43884820050744816,0.43884820050744816,0.44092013510208683,0.44430667788920275,0.44168256566701153,0.4405413347435357,0.44841366864055865,0.450841965932769,0.44758357311308533,0.4417696745779005
3,275,CatBoost,0.3421572557124341,0.345300830107345,0.35113408758780684,0.35785036846638396,0.3502184288448548,0.3432538813174762,0.3434659098251607,0.35044203127838036,0.3421572557124341,0.35299747541998366
2,237,CatBoost,0.3329654920360249,0.3340343881986495,0.3453058000769952,0.3538949802593989,0.33432855402075606,0.33459366975332366,0.34051769951174155,0.3482598034048166,0.3329654920360249,0.3382518697787506
