tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
14,-23c,-23,-22,1,XGBoost,0.47092998057046564,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.7339691741488779,0.48829525658141143,0.47092998057046564,0.6628784967490481,0.7541240651834595,0.6925206936087145
14,-8c,-8,-7,1,CatBoost,0.6165285371206433,0.967584038810052,0.9515182116072173,0.9416474343656611,1.0216512595356946,0.8900490454621289,0.9823835188816498,0.8720290206841074,0.6165285371206433,0.8851535070817746
14,-6c,-6,-5,1,PySR (Symbolic Regression),0.868616182640047,0.941608576538227,0.9273701560088031,0.9186062935125171,0.8915981552646368,1.0424555315553323,0.9894532162598085,0.9209372776832899,0.9084959807675549,0.868616182640047
14,-5c,-5,-4,3,Machine Learning (Logistic Regression),0.6523230743788333,0.6737242291791422,0.6746433495612424,0.6752175929374081,0.6870800836336471,0.6523230743788333,0.6768346902833238,0.6609228840654628,0.6844040273547024,0.6788495994076927
14,-4c,-4,-3,3,LightGBM,0.6770973688598717,0.7409869938927618,0.7386064072413122,0.7371253686801084,0.7838551071916443,0.6777763061636152,0.7466350451078476,0.6770973688598717,0.7024079233669238,0.7266905328912845
14,-3c,-3,-2,5,PySR (Symbolic Regression),0.8359210453330952,0.8978609477351401,0.8795121755159432,0.8688584964022766,0.9520955094697403,0.8702003211917011,0.8768255852450599,0.8552175330815528,0.8507821759271488,0.8359210453330952
14,-2c,-2,-1,15,Momentum-Adjusted Gaussian,0.6413588597620629,0.647859915264387,0.6469126861430019,0.6466659293924519,0.6413588597620629,0.6521706324706571,0.642869022044191,0.6496079856691026,0.6519405187778943,0.6469581140312658
14,-1c,-1,0,61,LightGBM,0.6470891568188079,0.6535452922333503,0.6543028660746475,0.6548906095849674,0.6515674653718002,0.6544748466105835,0.6536730624259925,0.6470891568188079,0.6594797463383524,0.6579166221458013
14,+0c,0,1,156,CatBoost,0.6306349629697353,0.6316219791280758,0.6337103093059596,0.635088085349444,0.6316219791280758,0.6321813151183977,0.6324951466931135,0.6434537911124284,0.6306349629697353,0.6411898283580137
14,+1c,1,2,62,PySR (Symbolic Regression),0.7125932524803105,0.730879486773296,0.7270401418809048,0.724800090197276,0.7333534321768242,0.7352401215578125,0.7322918322674028,0.725377169851308,0.7318436408570574,0.7125932524803105
