tte_bucket,probability_bucket,probability_bucket_start_cents,probability_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
14,10-15c,10,15,2,CatBoost,0.09363155359437354,0.1165969428877155,0.14772009028443148,0.1669469910500121,0.1278333705785623,0.10291657429749843,0.10195296553185276,0.11512417505332902,0.09363155359437354,0.16014460933173705
14,15-20c,15,20,1,Momentum-Adjusted Gaussian,0.17435339619191137,0.19845094744646924,0.22438762644004973,0.2404797841634145,0.17435339619191137,0.1855987590168636,0.19415891484975317,0.1887605628308751,0.19571666730572393,0.2713298178302588
14,20-25c,20,25,5,Machine Learning (Logistic Regression),0.48570467709732534,0.49193440888421963,0.4968073350924714,0.5003549289142131,0.49739777055309115,0.48570467709732534,0.5181511892171998,0.5217382817154265,0.4949352409827603,0.5117779257087582
14,25-30c,25,30,12,LightGBM,0.69360167929507,0.7288922384269161,0.7190845582067249,0.7136580824861198,0.7374027805792416,0.7422300576300498,0.7013736975045796,0.69360167929507,0.6975492001827984,0.6961240985445055
14,30-35c,30,35,20,Momentum-Adjusted Gaussian,0.6484312977670441,0.6546929600969508,0.653040371623995,0.6522655196316796,0.6484312977670441,0.6602822062989053,0.6526362070338622,0.6585015257547828,0.6588757613548613,0.6515860288525992
14,35-40c,35,40,28,Machine Learning (Logistic Regression),0.6280959155812329,0.6306647809527725,0.6322527874923355,0.633335781463081,0.6327046977383642,0.6280959155812329,0.6406306612738474,0.6362675023216023,0.6358725887616561,0.640772136681122
14,40-45c,40,45,43,Momentum-Adjusted Gaussian,0.6695974690348254,0.6702722917968461,0.6708737736328678,0.6712773966719957,0.6695974690348254,0.670347316925556,0.6706737381541399,0.670293091916671,0.6724026350811644,0.6743226614094322
14,45-50c,45,50,59,Standard Gaussian,0.6786443081229706,0.6786443081229706,0.6792226794335817,0.6795898960949572,0.6789138433001832,0.6800252837152756,0.679024974395672,0.6960992959242387,0.6808278305697004,0.6822692313833704
14,50-55c,50,55,54,Momentum-Adjusted Gaussian,0.6889845190830053,0.6910483195339141,0.6910940972211144,0.691125577742306,0.6889845190830053,0.6937973957150448,0.694532831599123,0.7010486208584185,0.6946806635378736,0.6913571256902301
14,55-60c,55,60,40,Machine Learning (Logistic Regression),0.6459556487133703,0.6523025236816634,0.6538394878868652,0.6548226570409648,0.6509156259961081,0.6459556487133703,0.6492169272485251,0.6480661010365182,0.652861575239737,0.6614347894963682
14,60-65c,60,65,37,Machine Learning (Logistic Regression),0.64372755394351,0.6489894231200067,0.6498377562418118,0.6504468199917697,0.6522193608287375,0.64372755394351,0.6547430002528909,0.6595803268046962,0.6448756262083756,0.655117231495532
14,65-70c,65,70,18,PySR (Symbolic Regression),0.6692019497826116,0.677144642585329,0.6746751529076387,0.6733601162629925,0.6846063363642989,0.6843438547651597,0.6711599226966771,0.6916655296530082,0.674217581885286,0.6692019497826116
14,70-75c,70,75,7,CatBoost,0.5908524332561093,0.6006125424677916,0.6004885556630606,0.6007997558212345,0.5969161927146053,0.6028505834347134,0.5940015361198413,0.5962162075679595,0.5908524332561093,0.6052664947254832
14,75-80c,75,80,7,Machine Learning (Logistic Regression),0.40616555021804135,0.42412925227109266,0.4343938060530563,0.4411027128734583,0.4289478157153907,0.40616555021804135,0.437856897087327,0.43858341210335533,0.444355237704242,0.4615690101974788
14,80-85c,80,85,2,Machine Learning (Logistic Regression),0.16957633506635378,0.198525313335649,0.22445780613788385,0.24054701270285925,0.2110259641181655,0.16957633506635378,0.23540633287623797,0.24702953159840424,0.21155364422269296,0.2703606019675714
14,85-90c,85,90,1,Machine Learning (Logistic Regression),0.11200462678412498,0.12783337692848898,0.15835329606425919,0.17719724456906188,0.12783337692848898,0.11200462678412498,0.12018064343531408,0.12669910934651601,0.1146729731913649,0.1773409472381667
