market_side,probability_bucket,probability_bucket_start_cents,probability_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
NO-leaning,0-5c,0,5,186,XGBoost,0.07784770101388243,0.07915734631943759,0.09552035393157271,0.11015726686860106,0.0877708204721584,0.08185971775392756,0.07784770101388243,0.08491533863613564,0.07995366057953399,0.0841651721459948
NO-leaning,5-10c,5,10,176,Momentum-Adjusted Gaussian,0.21367865797241337,0.21715961102211645,0.22817527255368208,0.23813602834628683,0.21367865797241337,0.21839018814188008,0.22011364622828514,0.21867815417530645,0.21595719709962963,0.21823261070882874
NO-leaning,10-15c,10,15,176,Momentum-Adjusted Gaussian,0.354088063221547,0.3547663490845015,0.35878655904547324,0.36361484695289376,0.354088063221547,0.35544210686422156,0.36344840255448696,0.3580594389912226,0.364995481289173,0.364133245198437
NO-leaning,15-20c,15,20,171,LightGBM,0.44202898419537195,0.44898770137211674,0.45091093145928435,0.4535281574432877,0.44520711479768343,0.4515787847378627,0.44479790285676324,0.44202898419537195,0.4495461612511408,0.46052844633246703
NO-leaning,20-25c,20,25,168,XGBoost,0.5248330192850943,0.5252171379699968,0.5260826486406033,0.5274306717194986,0.5249080450073265,0.5265580889929176,0.5248330192850943,0.5281831630683492,0.527699159551383,0.5338315618832835
NO-leaning,25-30c,25,30,169,XGBoost,0.6213505608947228,0.6399889618970077,0.6365956847533709,0.6349951448061351,0.6418748195740412,0.6436649181425422,0.6213505608947228,0.6251474894327184,0.6286451189960842,0.6323765934664985
NO-leaning,30-35c,30,35,195,Momentum-Adjusted Gaussian,0.6317994283487139,0.635070008885327,0.6347793063883799,0.6348241892917564,0.6317994283487139,0.6393790614277602,0.6331064544790755,0.6388035261855488,0.634470921917966,0.6372317506904686
NO-leaning,35-40c,35,40,234,Machine Learning (Logistic Regression),0.6207882230428365,0.622788270478732,0.6248348716493128,0.6261992395039527,0.6237304863329713,0.6207882230428365,0.6248744731372243,0.6287872155612381,0.6280883078397941,0.6353314805743138
NO-leaning,40-45c,40,45,234,LightGBM,0.6809894582446385,0.6842999484502168,0.6841034625423574,0.6840158830177984,0.6887497758207247,0.6810744879959724,0.6819655883807284,0.6809894582446385,0.6870311390061473,0.684046423518778
NO-leaning,45-50c,45,50,249,Machine Learning (Logistic Regression),0.6932099133045881,0.6966340915298945,0.6963605732417153,0.6961954916673916,0.7008823172535592,0.6932099133045881,0.7013422724177473,0.7003230109696528,0.7013828078698994,0.6951902649582175
YES-leaning,50-55c,50,55,299,CatBoost,0.6877247568037382,0.6931452499045863,0.6930895291666237,0.6930577011453896,0.694492634829303,0.6930858318276436,0.6910682644820182,0.6951864968828606,0.6877247568037382,0.6929106384563974
YES-leaning,55-60c,55,60,239,Machine Learning (Logistic Regression),0.6771127089170197,0.6775930899500616,0.6778867880801888,0.6780954026363519,0.678338638372139,0.6771127089170197,0.6805177527707409,0.68459933291829,0.6800422501594489,0.6798148725271628
YES-leaning,60-65c,60,65,241,LightGBM,0.6446947121185684,0.6529098391831034,0.6535794575039235,0.6540756800861172,0.6517893641343623,0.653795674725782,0.6565022061771072,0.6446947121185684,0.6541904730959571,0.6580569007743923
YES-leaning,65-70c,65,70,191,XGBoost,0.6017171701718816,0.6080473580977106,0.6097870720799098,0.6110431733218298,0.6078355495856452,0.6067345867934256,0.6017171701718816,0.6023328916170753,0.6038438930590339,0.6192506126554704
YES-leaning,70-75c,70,75,168,LightGBM,0.6073588973285754,0.6178812876335688,0.6165496947114514,0.6161394857592463,0.6164946158326154,0.6219402922361732,0.6113251441033949,0.6073588973285754,0.6131913600104976,0.6179485232000892
YES-leaning,75-80c,75,80,170,Momentum-Adjusted Gaussian,0.48355909653653967,0.48688327951748156,0.49181649705996316,0.49543700522588624,0.48355909653653967,0.4868181706146674,0.48767064262863113,0.4911823246365229,0.4879952422072359,0.5085858335283712
YES-leaning,80-85c,80,85,146,XGBoost,0.4411936116871365,0.45294472473688724,0.45663592173460166,0.4599847341436861,0.45177915194869694,0.45396460924294246,0.4411936116871365,0.44383100283920784,0.44871462032418663,0.4669315685709289
YES-leaning,85-90c,85,90,172,PySR (Symbolic Regression),0.4779047182079229,0.4899830272119142,0.481332602625403,0.47900608377988124,0.4878720138563928,0.49396009349422737,0.49620847122430845,0.4915149766666429,0.4996998415105358,0.4779047182079229
YES-leaning,90-95c,90,95,148,Student-T df=3,0.3683405020132798,0.3786264575527225,0.3688918918111266,0.3683405020132798,0.37652070415257527,0.37873898538310696,0.38001957582866674,0.37899815354064825,0.38153327308312174,0.37486846116580214
YES-leaning,95-100c,95,100,268,PySR (Symbolic Regression),0.09420016795955236,0.09641429864728522,0.1091861800990795,0.12259451925272741,0.10107700527112998,0.09721616300949719,0.0997248116310069,0.10160924917418838,0.10307915832878288,0.09420016795955236
