Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,f5,0.480000019,0-1,0-2,0-2,45.8435173,2874.21899,
0,1,0-1,f5,0.460000008,0-3,0-4,0-4,147.907867,2719.4707,
0,2,0-2,f5,0.49000001,0-5,0-6,0-6,97.4242859,154.748337,
0,3,0-3,f5,0.459999979,0-7,0-8,0-8,113.898048,2596.47192,
0,4,0-4,f5,0.470000029,0-9,0-10,0-10,75.6967621,122.998672,
0,5,0-5,Leaf,,,,,0.0560818985,39.2495766,
0,6,0-6,f2,0.00999999978,0-11,0-12,0-12,34.5160751,115.498756,
0,7,0-7,f5,0.400000006,0-13,0-14,0-14,11.1649599,2562.72241,
0,8,0-8,Leaf,,,,,0.0546295047,33.7496376,
0,9,0-9,Leaf,,,,,-0.057181634,58.7493668,
0,10,0-10,f5,0.479999989,0-15,0-16,0-16,230.728271,64.2493057,
0,11,0-11,f2,0.0,0-17,0-18,0-18,18.907156,105.248863,
0,12,0-12,Leaf,,,,,0.051821135,10.2498894,
0,13,0-13,Leaf,,,,,0.000662061386,2269.47559,
0,14,0-14,Leaf,,,,,-0.00554885576,293.246826,
0,15,0-15,Leaf,,,,,0.0555250198,26.9997082,
0,16,0-16,Leaf,,,,,-0.0578393936,37.2495995,
0,17,0-17,Leaf,,,,,-0.0485590212,6.74992704,
0,18,0-18,Leaf,,,,,0.000106613166,98.4989395,
1,0,1-0,f0,0.0,1-1,1-2,1-2,2635.70996,2886.29883,
1,1,1-1,f0,-0.738846838,1-3,1-4,1-4,486.660156,1411.92041,
1,2,1-2,f0,0.84162128,1-5,1-6,1-6,437.348145,1474.37842,
1,3,1-3,f0,-1.03643334,1-7,1-8,1-8,30.4874268,598.68103,
1,4,1-4,f0,-0.358458757,1-9,1-10,1-10,42.2285156,813.23938,
1,5,1-5,f0,0.358458757,1-11,1-12,1-12,76.7020874,906.988159,
1,6,1-6,f0,1.4757911,1-13,1-14,1-14,15.7178955,567.39032,
1,7,1-7,f3,0.0700000003,1-15,1-16,1-16,4.39868164,401.433624,
1,8,1-8,f0,-0.84162122,1-17,1-18,1-18,0.24319458,197.247421,
1,9,1-9,f1,4.13333321,1-19,1-20,1-20,9.63395691,329.745697,
1,10,1-10,f0,-0.176374152,1-21,1-22,1-22,5.67471313,483.493683,
1,11,1-11,f0,0.125661373,1-23,1-24,1-24,10.4846325,501.493439,
1,12,1-12,f1,14.3166666,1-25,1-26,1-26,4.44378662,405.49472,
1,13,1-13,f0,0.91536504,1-27,1-28,1-28,1.71105957,315.746552,
1,14,1-14,Leaf,,,,,0.0546481721,251.643768,
1,15,1-15,Leaf,,,,,-0.0550278127,396.184265,
1,16,1-16,Leaf,,,,,-0.0214490667,5.24937868,
1,17,1-17,Leaf,,,,,-0.0418105945,121.248421,
1,18,1-18,Leaf,,,,,-0.0356689282,75.9990082,
1,19,1-19,Leaf,,,,,-0.0354298651,44.9994125,
1,20,1-20,Leaf,,,,,-0.0202162415,284.746277,
1,21,1-21,Leaf,,,,,-0.0119740395,222.247101,
1,22,1-22,Leaf,,,,,-0.00542093767,261.246582,
1,23,1-23,Leaf,,,,,0.00188437139,198.997406,
1,24,1-24,Leaf,,,,,0.0107561108,302.496063,
1,25,1-25,Leaf,,,,,0.0252615232,396.994812,
1,26,1-26,Leaf,,,,,0.00296400697,8.49988937,
1,27,1-27,Leaf,,,,,0.0356579944,44.9994125,
1,28,1-28,Leaf,,,,,0.0450268388,270.747131,
2,0,2-0,f0,0.0,2-1,2-2,2-2,2530.80444,2876.63306,
2,1,2-1,f0,-0.738846838,2-3,2-4,2-4,467.528809,1414.45203,
2,2,2-2,f0,0.706302524,2-5,2-6,2-6,404.76709,1462.18115,
2,3,2-3,f0,-1.08031929,2-7,2-8,2-8,28.5721436,600.974609,
2,4,2-4,f0,-0.279319078,2-9,2-10,2-10,39.9112091,813.477356,
2,5,2-5,f0,0.279319078,2-11,2-12,2-12,66.1087952,831.386719,
2,6,2-6,f0,1.0803194,2-13,2-14,2-14,30.8238525,630.794495,
2,7,2-7,f3,0.0599999987,2-15,2-16,2-16,2.44592285,379.787872,
2,8,2-8,f0,-0.84162122,2-17,2-18,2-18,1.15490723,221.186768,
2,9,2-9,f1,4.01666689,2-19,2-20,2-20,11.2355042,422.978302,
2,10,2-10,f3,0.0199999996,2-21,2-22,2-22,4.94481277,390.499023,
2,11,2-11,f0,0.125661373,2-23,2-24,2-24,5.40546036,408.728668,
2,12,2-12,f0,0.358458757,2-25,2-26,2-26,3.80433655,422.65802,
2,13,2-13,f0,0.91536504,2-27,2-28,2-28,3.19152832,212.895813,
2,14,2-14,f0,1.55477357,2-29,2-30,2-30,4.78771973,417.898682,
2,15,2-15,Leaf,,,,,-0.0541889034,374.540802,
2,16,2-16,Leaf,,,,,-0.025395425,5.24706364,
2,17,2-17,Leaf,,,,,-0.0420327447,144.452286,
2,18,2-18,Leaf,,,,,-0.0348559693,76.7344818,
2,19,2-19,Leaf,,,,,-0.0334460326,51.2413559,
2,20,2-20,Leaf,,,,,-0.018294163,371.736938,
2,21,2-21,Leaf,,,,,-0.00871363655,301.499237,
2,22,2-22,Leaf,,,,,-0.000661199039,88.999794,
2,23,2-23,Leaf,,,,,0.00156489771,194.995956,
2,24,2-24,Leaf,,,,,0.00847426709,213.732727,
2,25,2-25,Leaf,,,,,0.0164309107,94.492363,
2,26,2-26,Leaf,,,,,0.0237007607,328.165649,
2,27,2-27,Leaf,,,,,0.0319293104,118.959946,
2,28,2-28,Leaf,,,,,0.0407926403,93.9358673,
2,29,2-29,Leaf,,,,,0.0460739806,194.37233,
2,30,2-30,Leaf,,,,,0.0541749001,223.526337,
3,0,3-0,f0,0.125661373,3-1,3-2,3-2,2366.05005,2869.1311,
3,1,3-1,f0,-0.738846838,3-3,3-4,3-4,573.323242,1602.15027,
3,2,3-2,f0,0.91536504,3-5,3-6,3-6,262.592407,1266.98083,
3,3,3-3,f0,-1.03643334,3-7,3-8,3-8,22.8182373,599.03717,
3,4,3-4,f0,-0.279319078,3-9,3-10,3-10,66.0688934,1003.11304,
3,5,3-5,f0,0.358458757,3-11,3-12,3-12,44.5038757,755.78479,
