Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,f2,0.0,0-1,0-2,0-2,1982.86523,1718775.62,
0,1,0-1,f5,0.49000001,0-3,0-4,0-4,18359.0566,432868.312,
0,2,0-2,f5,0.49000001,0-5,0-6,0-6,1252.70093,1285907.38,
0,3,0-3,f5,0.230000004,0-7,0-8,0-8,1632.57715,427835.875,
0,4,0-4,f1,12.416667,0-9,0-10,0-10,41.0566406,5032.44824,
0,5,0-5,f1,1.4666667,0-11,0-12,0-12,562.218262,1218493.25,
0,6,0-6,f2,0.00999999978,0-13,0-14,0-14,17762.7305,67414.0625,
0,7,0-7,f5,0.109999999,0-15,0-16,0-16,113.826859,239263.047,
0,8,0-8,f2,-0.0199999996,0-17,0-18,0-18,1194.85107,188572.812,
0,9,0-9,f2,-0.730000019,0-19,0-20,0-20,19.8613281,5020.19873,
0,10,0-10,f2,-0.0799999982,0-21,0-22,0-22,0.88783741,12.2498741,
0,11,0-11,f1,0.25,0-23,0-24,0-24,317.829987,47640.0117,
0,12,0-12,f5,0.230000004,0-25,0-26,0-26,342.260254,1170853.25,
0,13,0-13,f1,3.9333334,0-27,0-28,0-28,220.43306,62291.6133,
0,14,0-14,f1,11.6166668,0-29,0-30,0-30,17.640625,5122.44727,
0,15,0-15,Leaf,,,,,0.00115998194,126739.203,
0,16,0-16,Leaf,,,,,-0.000151017433,112523.844,
0,17,0-17,Leaf,,,,,-0.00892900862,27823.9648,
0,18,0-18,Leaf,,,,,-0.00219568564,160748.859,
0,19,0-19,Leaf,,,,,-0.015827693,10.4998922,
0,20,0-20,Leaf,,,,,-0.0589533038,5009.69873,
0,21,0-21,Leaf,,,,,0.00383356912,6.49993324,
0,22,0-22,Leaf,,,,,-0.0112748286,5.74994087,
0,23,0-23,Leaf,,,,,-0.0153541462,1757.98193,
0,24,0-24,Leaf,,,,,-0.00235954067,45882.0312,
0,25,0-25,Leaf,,,,,0.000962475606,627593.062,
0,26,0-26,Leaf,,,,,-6.60320438e-05,543260.188,
0,27,0-27,Leaf,,,,,-0.000522802293,54741.6875,
0,28,0-28,Leaf,,,,,0.00494506909,7549.92236,
0,29,0-29,Leaf,,,,,0.0583355539,5110.94775,
0,30,0-30,Leaf,,,,,0.0190234706,11.4998817,
1,0,1-0,f0,-0.0250689089,1-1,1-2,1-2,1552608.0,1718501.62,
1,1,1-1,f0,-0.674489737,1-3,1-4,1-4,258799.0,825135.312,
1,2,1-2,f0,0.706302583,1-5,1-6,1-6,262832.25,893366.312,
1,3,1-3,f0,-1.12639117,1-7,1-8,1-8,23541.8125,378108.875,
1,4,1-4,f0,-0.279319048,1-9,1-10,1-10,26060.2109,447026.406,
1,5,1-5,f0,0.279319048,1-11,1-12,1-12,33170.9141,517332.156,
1,6,1-6,f0,1.22652817,1-13,1-14,1-14,26288.0625,376034.188,
1,7,1-7,f0,-1.47579098,1-15,1-16,1-16,2907.9375,212266.5,
1,8,1-8,f0,-0.877896309,1-17,1-18,1-18,2539.96875,165842.391,
1,9,1-9,f0,-0.524400532,1-19,1-20,1-20,4519.3125,233001.297,
1,10,1-10,f0,-0.150969222,1-21,1-22,1-22,2409.42578,214025.094,
1,11,1-11,f0,0.125661343,1-23,1-24,1-24,4911.16016,268162.812,
1,12,1-12,f0,0.495850354,1-25,1-26,1-26,4479.79688,249169.312,
1,13,1-13,f0,0.877896309,1-27,1-28,1-28,3037.15625,175196.531,
1,14,1-14,f0,1.64485359,1-29,1-30,1-30,2794.875,200837.641,
1,15,1-15,Leaf,,,,,-0.0575016886,124754.469,
1,16,1-16,Leaf,,,,,-0.0503643453,87512.0312,
1,17,1-17,Leaf,,,,,-0.04319923,82643.5703,
1,18,1-18,Leaf,,,,,-0.0357713029,83198.8203,
1,19,1-19,Leaf,,,,,-0.0273086149,73678.2734,
1,20,1-20,Leaf,,,,,-0.0183229707,159323.031,
1,21,1-21,Leaf,,,,,-0.0100144595,101548.883,
1,22,1-22,Leaf,,,,,-0.00363997766,112476.211,
1,23,1-23,Leaf,,,,,0.00228788727,138864.844,
1,24,1-24,Leaf,,,,,0.0104128392,129297.977,
1,25,1-25,Leaf,,,,,0.0179311205,142601.969,
1,26,1-26,Leaf,,,,,0.0260621607,106567.352,
1,27,1-27,Leaf,,,,,0.0330481492,68250.9297,
1,28,1-28,Leaf,,,,,0.0411501788,106945.602,
1,29,1-29,Leaf,,,,,0.0499282628,89050.25,
1,30,1-30,Leaf,,,,,0.0570561364,111787.391,
2,0,2-0,f0,-0.0250689089,2-1,2-2,2-2,1461379.0,1718188.5,
2,1,2-1,f0,-0.674489737,2-3,2-4,2-4,243023.188,824925.938,
2,2,2-2,f0,0.738846838,2-5,2-6,2-6,247451.0,893262.625,
2,3,2-3,f0,-1.12639117,2-7,2-8,2-8,22309.8125,377865.594,
2,4,2-4,f0,-0.279319048,2-9,2-10,2-10,24425.5938,447060.312,
2,5,2-5,f0,0.305480778,2-11,2-12,2-12,33840.3906,530613.25,
2,6,2-6,f0,1.22652817,2-13,2-14,2-14,22012.8125,362649.406,
2,7,2-7,f0,-1.47579098,2-15,2-16,2-16,2718.6875,212071.578,
2,8,2-8,f0,-0.877896309,2-17,2-18,2-18,2397.53125,165794.016,
2,9,2-9,f0,-0.495850354,2-19,2-20,2-20,4303.27344,232981.672,
2,10,2-10,f0,-0.150969222,2-21,2-22,2-22,2271.59375,214078.656,
2,11,2-11,f0,0.125661343,2-23,2-24,2-24,5487.70996,287048.562,
2,12,2-12,f0,0.524400532,2-25,2-26,2-26,4010.91406,243564.672,
2,13,2-13,f0,0.9153651,2-27,2-28,2-28,2190.875,161868.234,
2,14,2-14,f0,1.64485359,2-29,2-30,2-30,2650.6875,200781.156,
2,15,2-15,Leaf,,,,,-0.0557975881,124646.633,
2,16,2-16,Leaf,,,,,-0.0488930866,87424.9375,
2,17,2-17,Leaf,,,,,-0.0418848656,82548.3984,
2,18,2-18,Leaf,,,,,-0.0346672311,83245.6094,
2,19,2-19,Leaf,,,,,-0.0256217942,91382.2188,
2,20,2-20,Leaf,,,,,-0.0172707401,141599.438,
2,21,2-21,Leaf,,,,,-0.00976192765,101559.305,
2,22,2-22,Leaf,,,,,-0.0035731867,112519.352,
2,23,2-23,Leaf,,,,,0.00226995954,138985.0,
2,24,2-24,Leaf,,,,,0.0105701266,148063.578,
2,25,2-25,Leaf,,,,,0.0184352435,139707.594,
2,26,2-26,Leaf,,,,,0.0262200683,103857.086,
2,27,2-27,Leaf,,,,,0.0333354138,67747.0859,
2,28,2-28,Leaf,,,,,0.0404127836,94121.1484,
2,29,2-29,Leaf,,,,,0.0484556779,89034.1094,
2,30,2-30,Leaf,,,,,0.0553982295,111747.047,
3,0,3-0,f0,-0.0250689089,3-1,3-2,3-2,1376150.38,1716707.88,
3,1,3-1,f0,-0.674489737,3-3,3-4,3-4,230021.188,824177.0,
3,2,3-2,f0,0.706302583,3-5,3-6,3-6,234430.125,892530.812,
3,3,3-3,f0,-1.12639117,3-7,3-8,3-8,21100.25,377375.844,
3,4,3-4,f0,-0.279319048,3-9,3-10,3-10,23072.4688,446801.125,
3,5,3-5,f0,0.279319048,3-11,3-12,3-12,29627.6484,517384.75,
3,6,3-6,f0,1.22652817,3-13,3-14,3-14,23478.0625,375146.094,
3,7,3-7,f0,-1.47579098,3-15,3-16,3-16,2629.1875,211729.297,
3,8,3-8,f0,-0.877896309,3-17,3-18,3-18,2228.03125,165646.547,
3,9,3-9,f0,-0.524400532,3-19,3-20,3-20,4062.58594,232851.344,
3,10,3-10,f0,-0.176374167,3-21,3-22,3-22,2126.22852,213949.797,
3,11,3-11,f0,0.125661343,3-23,3-24,3-24,4261.68262,268308.781,
3,12,3-12,f0,0.495850354,3-25,3-26,3-26,3923.10938,249075.969,
3,13,3-13,f0,0.877896309,3-27,3-28,3-28,2744.57812,174949.266,
3,14,3-14,f0,1.64485359,3-29,3-30,3-30,2481.875,200196.828,
3,15,3-15,Leaf,,,,,-0.054278031,124383.445,
3,16,3-16,Leaf,,,,,-0.0474833958,87345.8594,
3,17,3-17,Leaf,,,,,-0.040674828,82476.1016,
3,18,3-18,Leaf,,,,,-0.0337138064,83170.4531,
3,19,3-19,Leaf,,,,,-0.0257555302,73569.3516,
3,20,3-20,Leaf,,,,,-0.0172313731,159282.0,
3,21,3-21,Leaf,,,,,-0.0100875217,81576.8125,
3,22,3-22,Leaf,,,,,-0.00393006578,132372.969,
3,23,3-23,Leaf,,,,,0.00215161359,139012.047,
3,24,3-24,Leaf,,,,,0.00971836597,129296.734,
3,25,3-25,Leaf,,,,,0.0169113446,142564.766,
3,26,3-26,Leaf,,,,,0.0245219916,106511.203,
3,27,3-27,Leaf,,,,,0.0311309081,68181.3594,
3,28,3-28,Leaf,,,,,0.0388376676,106767.898,
3,29,3-29,Leaf,,,,,0.0471343622,88769.3906,
3,30,3-30,Leaf,,,,,0.0538620129,111427.438,
4,0,4-0,f0,0.0,4-1,4-2,4-2,1297530.62,1714685.62,
4,1,4-1,f0,-0.643345416,4-3,4-4,4-4,231332.375,845854.188,
4,2,4-2,f0,0.738846838,4-5,4-6,4-6,208986.75,868831.438,
4,3,4-3,f0,-1.03643334,4-7,4-8,4-8,23316.125,392055.781,
4,4,4-4,f0,-0.253347099,4-9,4-10,4-10,22068.6172,453798.375,
4,5,4-5,f0,0.33185336,4-11,4-12,4-12,26697.5625,507767.75,
4,6,4-6,f0,1.2815516,4-13,4-14,4-14,19913.3125,361063.688,
4,7,4-7,f0,-1.40507162,4-15,4-16,4-16,3818.125,237593.609,
4,8,4-8,f0,-0.772193193,4-17,4-18,4-18,1775.71875,154462.172,
4,9,4-9,f0,-0.439913154,4-19,4-20,4-20,3522.91406,236269.391,
4,10,4-10,f0,-0.125661343,4-21,4-22,4-22,1850.4624,217529.0,
4,11,4-11,f0,0.150969222,4-23,4-24,4-24,4758.79297,283254.375,
4,12,4-12,f0,0.553384721,4-25,4-26,4-26,2951.28906,224513.391,
4,13,4-13,f0,0.994457901,4-27,4-28,4-28,2509.01562,175434.219,
4,14,4-14,f0,1.75068605,4-29,4-30,4-30,1856.75,185629.469,
4,15,4-15,Leaf,,,,,-0.0524270944,138796.453,
4,16,4-16,Leaf,,,,,-0.0447082482,98797.1562,
4,17,4-17,Leaf,,,,,-0.0366858356,98024.2891,
4,18,4-18,Leaf,,,,,-0.0300035402,56437.8906,
4,19,4-19,Leaf,,,,,-0.0221971516,108000.969,
4,20,4-20,Leaf,,,,,-0.0148431603,128268.43,
4,21,4-21,Leaf,,,,,-0.00786745269,103458.195,
4,22,4-22,Leaf,,,,,-0.00232691993,114070.805,
4,23,4-23,Leaf,,,,,0.00329948729,140205.109,
4,24,4-24,Leaf,,,,,0.0110768871,143049.25,
4,25,4-25,Leaf,,,,,0.0183668453,138480.203,
4,26,4-26,Leaf,,,,,0.0254423115,86033.1797,
4,27,4-27,Leaf,,,,,0.0326116756,93808.5781,
4,28,4-28,Leaf,,,,,0.0398064777,81625.6406,
4,29,4-29,Leaf,,,,,0.047003407,91276.9297,
