Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,f2,0.0,0-1,0-2,0-2,36.678524,14373.6045,
0,1,0-1,f5,0.49000001,0-3,0-4,0-4,159.753998,3648.21313,
0,2,0-2,f2,0.00999999978,0-5,0-6,0-6,16.4805412,10725.3916,
0,3,0-3,f5,0.25,0-7,0-8,0-8,14.371685,3601.96362,
0,4,0-4,Leaf,,,,,-0.0576480925,46.2495308,
0,5,0-5,f1,1.60000002,0-9,0-10,0-10,5.51153326,7095.17822,
0,6,0-6,f5,0.49000001,0-11,0-12,0-12,159.03273,3630.21313,
0,7,0-7,f1,9.66666698,0-13,0-14,0-14,5.17963839,2119.72852,
0,8,0-8,f2,-0.0199999996,0-15,0-16,0-16,7.22117805,1482.23499,
0,9,0-9,f5,0.370000005,0-17,0-18,0-18,5.69946575,524.99469,
0,10,0-10,f1,2.8499999,0-19,0-20,0-20,4.01920509,6570.18359,
0,11,0-11,f1,1.31666672,0-21,0-22,0-22,19.9921284,3583.46362,
0,12,0-12,Leaf,,,,,0.0566719547,46.749527,
0,13,0-13,Leaf,,,,,0.00123061717,874.74115,
0,14,0-14,Leaf,,,,,-0.0017802018,1244.98743,
0,15,0-15,Leaf,,,,,-0.00948032923,213.747833,
0,16,0-16,Leaf,,,,,-0.00352315768,1268.48718,
0,17,0-17,Leaf,,,,,-0.00991901383,91.4990692,
0,18,0-18,Leaf,,,,,-0.00170981663,433.495605,
0,19,0-19,Leaf,,,,,0.0022934447,638.99353,
0,20,0-20,Leaf,,,,,-0.000208921963,5931.18994,
0,21,0-21,Leaf,,,,,-0.00928714592,145.74852,
0,22,0-22,Leaf,,,,,0.00202038325,3437.71509,
1,0,1-0,f0,0.0,1-1,1-2,1-2,13248.4385,14397.0176,
1,1,1-1,f0,-0.706302583,1-3,1-4,1-4,2303.87744,7096.64453,
1,2,1-2,f0,0.738846838,1-5,1-6,1-6,2053.27002,7300.37305,
1,3,1-3,f0,-1.2815516,1-7,1-8,1-8,171.827148,3075.69019,
1,4,1-4,f0,-0.279319048,1-9,1-10,1-10,276.328186,4020.95435,
1,5,1-5,f0,0.305480778,1-11,1-12,1-12,317.491821,4237.95068,
1,6,1-6,f0,1.22652817,1-13,1-14,1-14,196.329102,3062.42261,
1,7,1-7,f1,8.78333378,1-15,1-16,1-16,9.29541016,1449.95569,
1,8,1-8,f0,-0.994457901,1-17,1-18,1-18,14.9204102,1625.73438,
1,9,1-9,f0,-0.582841516,1-19,1-20,1-20,31.5415039,2048.22656,
1,10,1-10,f0,-0.125661343,1-21,1-22,1-22,12.890625,1972.72778,
1,11,1-11,f0,0.125661343,1-23,1-24,1-24,45.9190598,2204.47461,
1,12,1-12,f0,0.495850354,1-25,1-26,1-26,47.046875,2033.47607,
1,13,1-13,f0,0.877896309,1-27,1-28,1-28,15.1921387,1361.23633,
1,14,1-14,f0,1.55477357,1-29,1-30,1-30,20.3637695,1701.1864,
1,15,1-15,Leaf,,,,,-0.0570003577,1349.70654,
1,16,1-16,Leaf,,,,,-0.0459363163,100.249123,
1,17,1-17,Leaf,,,,,-0.0454818234,691.743225,
1,18,1-18,Leaf,,,,,-0.0393037759,933.99115,
1,19,1-19,Leaf,,,,,-0.0288055893,469.495056,
1,20,1-20,Leaf,,,,,-0.019881919,1578.73157,
1,21,1-21,Leaf,,,,,-0.00854789093,1020.73853,
1,22,1-22,Leaf,,,,,-0.00368922087,951.989258,
1,23,1-23,Leaf,,,,,0.00216278015,990.988708,
1,24,1-24,Leaf,,,,,0.0108678378,1213.48584,
1,25,1-25,Leaf,,,,,0.0187860094,1014.98798,
